name,email,Q1,Q2,Q3,Q4,Ex1,Ex2,Ex3,Ex4,final,HW1,HW2,HW3
Bruce Wayne,bwayne@stu.edu,74.5,67.8,80.7,92.3,76.1,64.9,97.7,75.3,58.8,80.7,76.1,79.2
Kathy Kane,kkane@byu.edu,71,85.9,98.5,64.1,56,55.8,89.1,68.3,77.3,98.5,56,96.2
Dinah Lance,dlance@mit.edu,91.5,88.9,93.3,97.9,55.1,94,77.2,97.5,85.7,93.3,55.1,75.2
Steven Rogers,srogers@rit.edu,70.9,59.6,58.2,77.4,76.5,71.5,85.3,80.7,98,58.2,76.5,61.3
Selina Kyle,skyle@aol.com,70.8,85.2,69.4,78.2,87.5,79.3,69.8,88.7,68.7,69.4,87.5,84.3
Victor Stone,vstone@gmail.com,91.3,67.5,89.7,77.3,61.1,62.9,75.4,64.5,95,89.7,61.1,96.4
Anita Fite,afite@cmu.edu,99.1,62.5,96.4,76.3,67,87.5,65.6,95.2,87.6,96.4,67,67.3
Oliver Queen,oqueen@yahoo.com,95.9,59.4,75.9,64.3,56.3,64.7,55.2,56.2,63.9,75.9,56.3,62.5
Cindy Reynolds,creynolds@mtv.com,59,85.4,86.6,98.4,61.6,76.5,63.2,81.5,88.7,86.6,61.6,86.8
Carter Hall,chall@fiu.edu,93.7,84,62.2,86.4,62.8,61.3,79.8,94.1,75.8,62.2,62.8,57.5
Peter Parker,pparker@bu.edu,70.1,63.2,69.3,79.1,86.7,93,92.1,84.9,58.6,69.3,86.7,64.5
Courtney Whitmore,cwhitmore@mil.gov,72.8,91.5,82.4,77.6,58.5,98.9,81.1,99.1,65.1,82.4,58.5,60.5
Shiro Yoshida,syoshida@uw.edu,90.2,80.4,63.7,58.4,97.1,73.6,72.2,98.1,79.3,63.7,97.1,68
Donna Troy,dtroy@yale.edu,87,75.2,65.7,70.1,80.1,66.8,56.8,73.3,71.1,65.7,80.1,56.3
Samantha Parrington,sparrington@um.edu,96.7,69.4,71.2,98.3,67.4,80.9,92.5,61,70.6,71.2,67.4,56.8
